name,url,is_official,status,generator,author
Ivanovice na Hané,ivanovicenahane.cz,1,000,,
Ivančice,muiv.cz,0,,,
Jablonné nad Orlicí,jablonneno.cz,0,,,
Jablonné v Podještědí,jvpmesto.cz,0,,,
Jablunkov,jablunkov.cz,1,200,[],[]
Janov,,0,,,
Janovice nad Úhlavou,janovice.cz,0,,,
Janské Lázně,janske-lazne.cz,0,,,
Jaroměř,jaromer-josefov.cz,1,000,,
Jaroměřice nad Rokytnou,jaromericenr.cz,0,,,
Javorník,mujavornik.cz,1,000,,
Jemnice,mesto-jemnice.cz,1,000,,
Jesenice,esenice-ra.cz,0,,,
Jesenice,oujesenice.cz,1,000,,
Jeseník,mujes.cz,0,,,
Jevišovice,jevisovice.cz,1,000,,
Jevíčko,jevicko.cz,1,000,,
Jilemnice,mesto.jilemnice.cz,1,000,,
Jindřichův Hradec,jh.cz,0,,,
Jirkov,jirkov.cz,1,000,,
Jistebnice,jistebnice.cz,1,000,,
Jičín,mujicin.cz,1,000,,
Jiříkov,jirikov.cz,1,200,[],[]
Jáchymov,mestojachymov.cz,1,000,,
Jílové,mujilove.cz,1,200,[],['Antee s.r.o.']
Jílové u Prahy,jilove.cz,0,,,
Kadaň,mesto-kadan.cz,1,000,,
Kamenice nad Lipou,kamenicenl.cz,0,,,
Kamenický Šenov,kamenicky-senov.cz,0,,,
Kaplice,mestokaplice.cz,1,200,[],['Robert Sedlák DiS. - webmaster.robertsedlak.cz']
Kardašova Řečice,kardasova-recice.cz,0,,,
Karolinka,mukarolinka.cz,1,000,,
Kasejovice,kasejovice.cz,1,000,,
Kaznějov,kaznejov.cz,1,000,,
Kašperské Hory,kasphory.cz,0,,,
Kdyně,radnice.kdyne.cz,1,000,,
Kelč,kelc.cz,1,000,,
Kladruby,kladruby.cz,1,200,[],['Walk - oddělení vývoje | email: vaclav.vanik@walk.cz']
Kladruby,,0,,,
Klatovy,mukt.cz,0,,,
Klecany,mu-klecany.cz,1,000,,
Klimkovice,mesto-klimkovice.cz,1,000,,
Klobouky u Brna,kloboukyubrna.cz,1,000,,
Klášterec nad Ohří,muklasterec.cz,0,,,
Kolín,mukolin.cz,1,000,,
Konice,konice.cz,1,000,,
Kopidlno,kopidlno.cz,1,200,[],[]
Kopřivnice,koprivnice.cz,1,200,[],[]
Koryčany,korycany.cz,1,000,,
Kostelec na Hané,kostelecnh.cz,0,,,
Kostelec nad Labem,kostelecnlab.cz,0,,,
Kostelec nad Orlicí,muko.cz,0,,,
Kostelec nad Černými lesy,kostelecncl.cz,0,,,
Kouřim,kourim-radnice.cz,1,200,[],[]
Košťany,kostany.cz,1,000,,
Kožlany,kozlany.cz,1,200,[],['Město Kožlany']
Kožlany,,0,,,
Kralovice,kralovice.cz,1,200,[],['Město Kralovice']
Kralupy nad Vltavou,mestokralupy.cz,0,,,
Kraslice,meu.kraslice.cz,1,000,,
Kravaře,kravare.cz,1,200,[],['Město Kravaře']
Krnov,mukrnov.cz,1,000,,
Kroměříž,mesto-kromeriz.cz,1,000,,
Krupka,mukrupka.cz,1,200,[],['']
Kryry,kryry.cz,1,000,,
Králíky,kraliky.eu,1,000,,
Králův Dvůr,kraluv-dvur.cz,0,,,
Krásno,mesto-krasno.cz,1,000,,
Krásná Hora nad Vltavou,krasna-hora.cz,0,,,
Krásná Lípa,krasnalipa.cz,1,000,,
Krásné Údolí,krasneudoli.cz,1,000,,
Kunovice,mesto-kunovice.cz,1,200,[],[]
Kunovice,mesto-uh.cz,0,,,
Kunštát,kunstat-mesto.cz,1,000,,
Kutná Hora,mu.kutnahora.cz,1,200,['Marwel'],['Město Kutná Hora']
Kuřim,radnice.kurim.cz,1,000,,
Kyjov,mukyjov.cz,1,200,[],[]
Kynšperk nad Ohří,kynsperk.cz,0,,,
Lanškroun,mulanskroun.cz,1,000,,
Lanžhot,lanzhot.cz,1,200,[],['Město Lanžhot']
Ledeč nad Sázavou,ledecns.cz,0,,,
Ledvice,ledvice.cz,1,000,,
Letohrad,letohrad.eu,1,000,,
Letovice,letovice.net,1,200,[],['Město Letovice']
Libochovice,libochovice.cz,1,000,,
Libušín,mestolibusin.cz,1,200,[],['Město Libušín']
Libáň,mestoliban.cz,1,000,,
Libčice nad Vltavou,libcice.cz,0,,,
Liběchov,libechov.cz,1,000,,
Lipnice nad Sázavou,lipnicens.cz,0,,,
Litomyšl,litomysl.cz,1,000,,
Litoměřice,litomerice.cz,1,400,[],[]
Litovel,mestolitovel.cz,1,200,['Public4u'],"['as4u.cz, s.r.o.']"
Litvínov,mulitvinov.cz,1,200,[],[]
Lišov,mulisov.cz,1,000,,
Loket,loket.cz,1,200,[],[]
Lom,mesto-lom.cz,1,000,,
Lomnice nad Lužnicí,meu.lomnice-nl.cz,0,,,
Lomnice nad Lužnicí,lomnice-nl.cz,0,,,
Lomnice nad Lužnicí,iks.lomnice-nl.cz,0,,,
Lomnice nad Lužnicí,knih-lo.cz,0,,,
Louny,mulouny.cz,1,000,,
Loučná pod Klínovcem,,0,,,
Loučná pod Klínovcem,loucna.eu,0,,,
Lovosice,meulovo.cz,0,,,
Loštice,mu-lostice.cz,1,200,[],['Loštice']
Luby,mestoluby.cz,1,000,,
Luhačovice,mesto.luhacovice.cz,1,000,,
Lučany nad Nisou,lucany.cz,0,,,
Luže,luze.cz,1,000,,
Lysá nad Labem,mestolysa.cz,0,,,
Lázně Bohdaneč,lazne.bohdanec.cz,0,,,
Lázně Bělohrad,lazne-belohrad.cz,0,,,
Lázně Kynžvart,laznekynzvart.cz,1,000,,
Manětín,manetin.cz,1,200,[],['Město Manětín']
Mariánské Lázně,marianskelazne.cz,1,000,,
Mašťov,obce-cv.cz,0,,,
Meziboří,mezibori.cz,1,000,,
Meziměstí,mezimesti.cz,1,200,[],[]
Mikulov,mikulov.cz,1,200,[],[]
Mikulášovice,interdata.cz,0,,,
Mikulášovice,mikulasovice.cz,1,200,['WordPress 6.4.1'],[]
Miletín,,0,,,
Milevsko,milevsko-mesto.cz,1,000,,
Miličín,,0,,,
Milovice,mesto-milovice.cz,1,000,,
Mimoň,mestomimon.cz,1,200,[],['Město Mimoň']
Miroslav,mesto-miroslav.cz,1,200,['Joomla! - Open Source Content Management'],['Lubomír Plch']
Mirotice,mirotice.cz,1,200,[],['Město Mirotice']
Mirotice,,0,,,
Mirovice,mirovice-mesto.cz,1,000,,
Mirošov,mirosov.cz,1,000,,
Mladá Vožice,mu-vozice.cz,0,,,
Mnichovice,mnichovice.info,1,000,,
Mnichovo Hradiště,mnhradiste.cz,0,,,
Mníšek pod Brdy,mnisek.cz,0,,,
Modřice,mesto-modrice.cz,1,200,[],[]
Mohelnice,mohelnice.cz,1,000,,
Moravská Třebová,mtrebova.cz,0,,,
Moravské Budějovice,mbudejovice.cz,0,,,
Moravský Beroun,morberoun.cz,0,,,
Moravský Krumlov,mkrumlov.cz,0,,,
Morkovice-Slížany,,0,,,
Morkovice-Slížany,morkovice-slizany.cz,1,200,[],['Město Morkovice-Slížany']
Mýto,mestomyto.cz,1,200,[],['Město Mýto']
Mělník,melnik.cz,1,000,,
Městec Králové,meu.mesteckralove.cz,1,000,,
Město Albrechtice,mesto-albrechtice.cz,0,,,
Město Touškov,,0,,,
Měčín,mecin.cz,1,000,,
Mšeno,mestomseno.cz,1,200,[],['Město Mšeno']
Nalžovské Hory,nalzovskehory.cz,1,000,,
Napajedla,napajedla.cz,1,200,[],['Město Napajedla']
Nasavrky,nasavrky.cz,1,000,,
Nechanice,nechanice.cz,1,200,[],['Město Nechanice']
Nejdek,nejdek.cz,1,000,,
Nepomuk,urad-nepomuk.cz,1,200,[],[]
Neratovice,neratovice.cz,1,200,[],[]
Netolice,netolice.cz,1,200,[],['Město Netolice']
Neveklov,neveklov.cz,1,200,[],['Město Neveklov']
Nová Bystřice,novabystrice.cz,1,200,[],[]
Nová Paka,munovapaka.cz,1,000,,
Nová Role,novarole.cz,1,200,[],['Město Nová Role']
Nová Včelnice,vcelnice.cz,0,,,
Nové Hrady,novehrady.cz,1,200,[],[]
Nové Hrady,novehrady.ipodatelna.cz,1,000,,
Nové Město na Moravě,nmnm.cz,0,,,
Nové Město pod Smrkem,nmps.cz,0,,,
Nové Sedlo,mestonovesedlo.cz,1,000,,
Nové Strašecí,novestraseci.cz,1,000,,
Nové Strašecí,obecni-urad.net,0,,,
Nový Bor,novy-bor.cz,0,,,
Nový Bydžov,novybydzov.cz,1,000,,
Nový Jičín,novyjicin-town.cz,1,000,,
Nový Knín,mestonovyknin.cz,1,000,,
Nymburk,meu-nbk.cz,0,,,
Náměšť nad Oslavou,mesto-namest.cz,0,,,
Nýrsko,mestonyrsko.cz,1,200,[],['SumavaNet.CZ']
Nýřany,nyrany.cz,1,000,,
Nýřany,mesto-nyrany.cz,1,000,,
Němčice nad Hanou,nemcicenh.cz,0,,,
Odolena Voda,odolenavoda.cz,1,000,,
Olešnice,olesnice.cz,1,000,,
Oloví,olovi.cz,1,000,,
Opočno,mu.opocno.cz,1,000,,
Orlová,muor.cz,0,,,
Osek,osek.cz,1,200,[],['Město Osek']
Osečná,osecna.cz,1,000,,
Oslavany,mboxr.cz,0,,,
Oslavany,,0,,,
Ostrov,ostrov.cz,1,200,[],['URBITECH (info@urbitech.cz)']
Pacov,mestopacov.cz,1,000,,
Paskov,mesto-paskov.cz,1,200,[],['Město Paskov']
Pelhřimov,mupe.cz,0,,,
Petřvald,petrvald-mesto.cz,1,000,,
Pečky,pecky.cz,1,000,,
Pilníkov,pilnikov.cz,1,200,"['WordPress 6.4.1', 'Elementor 3.17.3; features: e_dom_optimization, e_optimized_assets_loading, e_optimized_css_loading, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap']",[]
Planá,muplana.cz,1,200,[],['Planá']
Planá nad Lužnicí,plananl.cz,0,,,
Plasy,mestoplasy.cz,1,000,,
Plesná,mestoplesna.cz,1,000,,
Plumlov,mestoplumlov.cz,1,200,['Joomla! - Open Source Content Management'],[]
Plánice,planice.cz,1,200,[],['Město Plánice']
Poběžovice,pobezovice.cz,1,000,,
Podbořany,podborany.net,1,000,,
Poděbrady,mesto-podebrady.cz,1,000,,
Pohořelice,pohorelice.cz,1,200,[],[]
Police nad Metují,meu-police.cz,0,,,
Polička,policka.org,1,200,[],['Ondřej Votruba']
Polná,mu-polna.cz,1,000,,
Postoloprty,postoloprty.cz,1,000,,
Potštát,,0,,,
Počátky,pocatky.cz,1,200,[],[]
Prachatice,mupt.cz,0,,,
Proseč,prosec.cz,1,200,[],[]
Protivín,muprotivin.cz,1,200,[],['Město Protivín']
Pyšely,pysely.cz,1,000,,
Přebuz,,0,,,
Přelouč,mestoprelouc.cz,1,000,,
Přeštice,prestice-mesto.cz,1,000,,
Přibyslav,pribyslav.cz,1,000,,
Přimda,mestoprimda.cz,1,000,,
Příbor,pribor-mesto.cz,1,000,,
Rabí,mestorabi.cz,1,200,[],['Mgr. Aleš Jahoda - WWWSTRÁNKYnet - jahoda@wwwstranky.net']
Radnice,mesto-radnice.cz,1,000,,
Rajhrad,rajhrad.cz,1,000,,
Rakovník,murako.cz,0,,,
Ralsko,obecralsko.cz,1,000,,
Raspenava,raspenava.cz,1,000,,
Rejštejn,,0,,,
Rokycany,rokycany.cz,1,200,[],[]
Rokytnice nad Jizerou,mesto-rokytnice.cz,0,,,
Rokytnice v Orlických horách,mu.rokytnice.cz,0,,,
Ronov nad Doubravou,ronovnd.cz,0,,,
Rosice,mesto.rosice.cz,1,000,,
Rotava,rotava.cz,1,000,,
Roudnice nad Labem,roudnicenl.cz,0,,,
Rousínov,rousinov.cz,1,000,,
Rovensko pod Troskami,rovensko.cz,0,,,
Roztoky,roztoky.cz,1,200,[],['Webaz s.r.o. / www.webaz.cz']
Rožmberk nad Vltavou,ck.ipex.cz,0,,,
Rožmitál pod Třemšínem,rozmitalptr.cz,0,,,
Rožnov pod Radhoštěm,roznov.cz,0,,,
Rožďalovice,mybox.cz,0,,,
Rtyně v Podkrkonoší,mestortyne.cz,0,,,
Rudná,rudnamesto.cz,1,200,[],[]
Rudolfov,rudolfov.cz,1,200,[],['Venom']
Rumburk,rumburk.cz,1,200,[],[]
Rychnov nad Kněžnou,rychnov-city.cz,0,,,
Rychnov u Jablonce nad Nisou,rychnovjbc.cz,0,,,
Rychvald,rychvald.cz,1,200,"['Divi v.4.23.1', 'WordPress 6.4.1']",[]
Rájec-Jestřebí,rajecjestrebi.cz,0,,,
Rýmařov,rymarov.cz,1,000,,
Smiřice,mestosmirice.cz,1,000,,
Sadská,mesto-sadska.cz,1,000,,
Sedlec-Prčice,sedlec-prcice.cz,1,000,,
Sedlice,obec-sedlice.cz,1,000,,
Sedlčany,mu.sedlcany.cz,1,000,,
Semily,semily.cz,1,000,,
Sezemice,sezemice.cz,1,000,,
Sezimovo Ústí,sezimovo-usti.cz,0,,,
Seč,mestosec.cz,1,000,,
Skalná,skalna.cz,1,000,,
Skuteč,skutec.cz,1,200,[],['Město Skuteč']
Slaný,meuslany.cz,1,000,,
Slatiňany,slatinany.cz,1,000,,
Slavkov u Brna,meuslavkov.cz,0,,,
Slavonice,slavonice-mesto.cz,1,200,[],[]
Slušovice,slusovice.cz,1,000,,
Smečno,meusmecno.cz,1,200,[],[]
Smržovka,smrzovka.cz,1,000,,
Sobotka,craj.cz,0,,,
Soběslav,musobeslav.cz,1,000,,
Spálené Poříčí,spaleneporici.cz,1,000,,
Staré Město,staremesto.uh.cz,1,000,,
Staré Město,mu-staremesto.cz,1,000,,
Starý Plzenec,ipodatelna.cz,0,,,
Starý Plzenec,staryplzenec.cz,1,000,,
Staňkov,mestostankov.cz,1,200,[],['Město Staňkov']
Stochov,stochov.cz,1,000,,
Stod,mestostod.cz,1,000,,
Strakonice,mu-st.cz,0,,,
Strmilov,strmilovsko.cz,1,000,,
Stráž nad Nežárkou,,0,,,
Stráž pod Ralskem,strazpr.cz,0,,,
Strážnice,straznice-mesto.cz,1,000,,
Strážov,strazov.cz,1,000,,
Studénka,mesto-studenka.cz,1,200,[],['Studénka']
Stárkov,starkov.cz,1,000,,
Stříbro,ipodatelna.cz,0,,,
Stříbro,mustribro.cz,1,000,,
Suchdol nad Lužnicí,meu.suchdol.cz,0,,,
Sušice,mususice.cz,1,000,,
Svitavy,svitavy.cz,1,000,,
Svratka,svratka.cz,1,200,"['WordPress 6.0.6', 'Redux 4.4.9', 'Powered by Visual Composer - drag and drop page builder for WordPress.']",[]
Světlá nad Sázavou,svetlans.cz,0,,,
Sázava,mestosazava.cz,1,000,,
Tachov,tachov-mesto.cz,1,000,,
Tanvald,tanvald.cz,1,200,['Public4u'],"['as4u.cz, s.r.o.']"
Telč,telc-etc.cz,1,404,[],[]
Teplá,tepla.cz,1,000,,
Terezín,terezin.cz,1,000,,
Tišnov,tisnov-mesto.cz,1,000,,
Tišnov,tisnov.cz,1,200,[],[]
Toužim,touzim.cz,1,200,[],['Město Toužim']
Tovačov,tovacov.cz,1,000,,
Trhové Sviny,tsviny.cz,0,,,
Trhový Štěpánov,trhovystepanov.cz,1,000,,
Trhový Štěpánov,,0,,,
Trmice,mutrmice.cz,1,200,[],[]
Tábor,mutabor.cz,1,200,[],[]
Týn nad Vltavou,tnv.cz,0,,,
Týnec nad Labem,tynecnadlabem.cz,1,000,,
Týniště nad Orlicí,tyniste.cz,0,,,
Třebechovice pod Orebem,mutrebechovice.cz,0,,,
Třebenice,mesto-trebenice.cz,1,000,,
Třeboň,mesto-trebon.cz,1,000,,
Třebíč,trebic.cz,1,200,[],[]
Třemošnice,tremosnice.cz,1,000,,
Třemošná,tremosna.cz,1,200,[],['Město Třemošná']
Třešť,trest.cz,1,200,[],[]
Uherský Brod,ub.cz,0,,,
Uherský Ostroh,uhostroh.cz,0,,,
Uhlířské Janovice,uhljan.cz,0,,,
Unhošť,muunhost.cz,1,000,,
Uničov,unicov.cz,1,000,,
Valašské Klobouky,mu-vk.cz,0,,,
Valašské Meziříčí,muvalmez.cz,0,,,
Valtice,valtice.eu,1,200,[],['Města Valtice']
Vamberk,vamberk.cz,1,200,['WordPress 5.6.12'],[]
Varnsdorf,varnsdorf.cz,1,200,['WebJET CMS'],['WebActive s.r.o.']
Vejprty,vejprty.cz,1,000,,
Velešín,velesin.cz,1,200,[],['Robert Sedlák DiS. - webmaster.robertsedlak.cz']
Velká Bystřice,muvb.cz,0,,,
Velká Bíteš,vbites.cz,0,,,
Velké Bílovice,velkebilovice.cz,1,000,,
Velké Hamry,velkehamry.cz,1,000,,
Velké Meziříčí,mestovm.cz,0,,,
Velké Opatovice,velkeopatovice.cz,1,200,[],[]
Velké Pavlovice,velke-pavlovice.cz,0,,,
Velký Šenov,velkysenov.cz,1,000,,
Veltrusy,veltrusy.cz,1,200,[],[]
Velvary,velvary.cz,1,000,,
Verneřice,vernerice.cz,1,200,[],[]
Veselí nad Lužnicí,veseli.cz,0,,,
Veselí nad Moravou,veseli-nad-moravou.cz,0,,,
Veverská Bítýška,obecveverskabityska.cz,1,200,[],[]
Vidnava,vidnava.cz,1,200,['Joomla! - Open Source Content Management'],[]
Vimperk,mesto.vimperk.cz,1,000,,
Vlašim,mesto-vlasim.cz,1,000,,
Vodňany,muvodnany.cz,1,000,,
Volary,,0,,,
Volyně,mu.volyne.cz,1,000,,
Votice,votice.cz,1,000,,
Vracov,mestovracov.cz,1,000,,
Vratimov,vratimov.cz,1,000,,
Vrbno pod Pradědem,vrbnopp.cz,0,,,
Vrchlabí,muvrchlabi.cz,1,000,,
Vroutek,vroutek.net,1,000,,
Vsetín,mestovsetin.cz,1,000,,
Vysoké Mýto,vysoke-myto.cz,0,,,
Vysoké Veselí,vysokeveseli.cz,1,200,[],[]
Vysoké nad Jizerou,vysokenadjizerou.cz,1,200,[],[]
Vysoké nad Jizerou,,0,,,
Vyškov,meuvyskov.cz,1,200,[],[]
Vyšší Brod,mestovyssibrod.cz,1,200,[],['CRnet.cz']
Vítkov,vitkov.info,1,000,,
Výsluní,mesto-vysluni.cz,1,000,,
Výsluní,obce-cv.cz,0,,,
Větřní,obecvetrni.cz,1,200,[],['WA.cz']
Všeruby,,0,,,
Zbiroh,zbiroh.cz,1,000,,
Zbýšov,mboxr.cz,0,,,
Zdice,mesto-zdice.cz,1,000,,
Zlaté Hory,zlatehory.cz,1,000,,
Zliv,sendme.cz,0,,,
Znojmo,muznojmo.cz,1,200,[],[]
Zruč nad Sázavou,mesto-zruc.cz,0,,,
Zubří,mesto-zubri.cz,1,200,[],['Surface - Digitální a komunikační agentura [www.surface.cz]']
Zábřeh,muzabreh.cz,1,000,,
Zákupy,mesto-zakupy.cz,1,200,[],[]
Zásmuky,zasmuky.cz,1,000,,
Újezd u Brna,ujezdubrna.cz,1,000,,
Úsov,usov.cz,1,000,,
Ústí nad Orlicí,muuo.cz,0,,,
Úterý,mesto-utery.cz,1,200,[],['Město Úterý']
Úvaly,mestouvaly.cz,1,000,,
Úštěk,mesto-ustek.cz,1,200,[],[]
Úštěk,,0,,,
Čelákovice,celakovice.cz,1,000,,
Černovice,mestocernovice.cz,1,000,,
